"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","978.50","966.06","988.50","935.68","","1.36%"
"02/01/2024","965.38","929.80","990.78","928.30","","3.92%"
"01/01/2024","929.00","879.00","936.41","873.89","","5.50%"
"12/01/2023","880.58","872.15","902.63","854.61","","1.22%"
"11/01/2023","869.95","895.00","924.98","863.03","","-2.75%"
"10/01/2023","894.55","891.15","953.65","890.45","","0.43%"
"09/01/2023","890.70","852.25","919.93","844.54","","4.57%"
"08/01/2023","851.80","839.25","875.67","837.05","","1.59%"
"07/01/2023","838.45","801.73","843.66","794.00","","4.68%"
"06/01/2023","800.93","808.75","810.98","783.77","","-0.91%"
"05/01/2023","808.30","807.00","815.70","778.13","","0.24%"
"04/01/2023","806.36","794.89","825.59","788.84","","1.50%"
"03/01/2023","794.44","827.67","837.66","782.00","","-3.99%"
"02/01/2023","827.47","796.16","837.39","776.10","","4.02%"
"01/01/2023","795.48","848.25","865.03","794.97","","-6.17%"
"12/01/2022","847.80","890.50","897.40","847.80","","-4.62%"
"11/01/2022","888.85","943.50","958.77","880.03","","-5.75%"
"10/01/2022","943.05","968.01","992.84","920.74","","-2.44%"
"09/01/2022","966.63","897.00","997.47","839.15","","7.82%"
"08/01/2022","896.50","901.10","955.22","873.41","","-0.33%"
"07/01/2022","899.50","916.75","1,061.63","896.38","","-1.83%"
"06/01/2022","916.30","824.21","940.27","807.68","","11.29%"
"05/01/2022","823.38","852.51","872.30","818.53","","-3.26%"
"04/01/2022","851.13","786.78","862.75","775.49","","8.30%"
"03/01/2022","785.88","799.20","818.89","771.50","","-1.52%"
"02/01/2022","798.00","800.72","831.35","783.05","","-0.24%"
"01/01/2022","799.90","852.00","856.82","793.23","","-6.02%"
"12/01/2021","851.10","827.38","876.75","818.50","","2.95%"
"11/01/2021","826.70","813.50","849.25","787.79","","1.66%"
"10/01/2021","813.20","810.83","832.99","800.40","","0.33%"
"09/01/2021","810.53","773.23","816.36","761.85","","4.91%"
"08/01/2021","772.63","756.65","796.13","752.92","","2.17%"
"07/01/2021","756.20","732.30","772.91","727.42","","3.35%"
"06/01/2021","731.70","722.88","757.80","713.62","","1.28%"
"05/01/2021","722.43","710.75","738.17","690.28","","1.71%"
"04/01/2021","710.30","720.45","724.00","693.33","","-1.37%"
"03/01/2021","720.20","723.89","743.36","712.47","","-0.46%"
"02/01/2021","723.51","734.82","740.18","697.39","","-1.51%"
"01/01/2021","734.59","710.50","745.82","692.60","","3.50%"
"12/01/2020","709.75","763.42","763.42","705.49","","-6.70%"
"11/01/2020","760.70","773.30","777.15","747.22","","-1.60%"
"10/01/2020","773.05","785.05","804.70","767.57","","-1.49%"
"09/01/2020","784.77","776.38","791.28","757.43","","1.10%"
"08/01/2020","776.21","756.76","809.00","753.84","","2.61%"
"07/01/2020","756.43","822.99","822.99","751.20","","-8.08%"
"06/01/2020","822.90","799.05","825.24","758.48","","3.07%"
"05/01/2020","798.40","834.70","842.72","798.20","","-4.20%"
"04/01/2020","833.40","855.85","867.89","832.50","","-2.44%"
"03/01/2020","854.23","817.92","878.96","800.11","","4.53%"
"02/01/2020","817.21","800.30","822.50","773.58","","2.24%"
"01/01/2020","799.33","751.95","802.39","749.28","","6.36%"
"12/01/2019","751.50","798.55","809.15","742.88","","-6.43%"
"11/01/2019","803.12","741.58","838.69","732.66","","8.44%"
